1 200
1 46 58
2 2 57
3 29 35
4 61 89
5 32 28
6 38 75
7 73 84
8 67 84
9 94 90
10 55 21
11 66 88
12 86 71
13 7 87
14 40 31
15 80 9
16 57 88
17 29 28
18 49 12
19 76 69
20 5 28
21 86 10
22 73 1
23 73 25
24 48 30
25 77 8
26 87 10
27 32 63
28 80 58
29 71 31
30 50 42
31 95 29
32 9 23
33 71 50
34 45 44
35 35 55
36 8 24
37 84 27
38 34 55
39 15 85
40 97 81
41 38 10
42 54 72
43 21 46
44 55 66
45 48 91
46 40 44
47 19 63
48 33 56
49 1 49
50 29 23
51 79 3
52 95 22
53 99 63
54 26 5
55 29 24
56 43 86
57 34 68
58 3 85
59 75 37
60 1 25
61 94 79
62 96 44
63 14 63
64 5 21
65 94 77
66 54 65
67 55 73
68 1 34
69 14 31
70 72 58
71 19 50
72 36 23
73 47 54
74 10 51
75 59 47
76 80 64
77 48 3
78 28 0
79 6 51
80 8 35
81 57 5
82 11 52
83 70 78
84 31 60
85 67 68
86 70 44
87 64 42
88 5 44
89 43 73
90 96 59
91 53 54
92 61 46
93 96 90
94 16 51
95 44 1
96 28 63
97 23 36
98 0 14
99 39 84
100 52 69
101 23 49
102 83 91
103 77 36
104 99 5
105 97 84
106 56 33
107 54 48
108 82 3
109 43 64
110 55 80
111 61 79
112 15 65
113 40 6
114 20 28
115 42 91
116 5 58
117 20 27
118 36 3
119 70 70
120 69 59
121 90 10
122 53 60
123 44 94
124 9 74
125 54 96
126 71 74
127 28 72
128 7 44
129 33 17
130 51 70
131 15 70
132 63 6
133 79 97
134 12 27
135 12 79
136 33 73
137 95 96
138 89 51
139 25 55
140 21 45
141 97 46
142 74 45
143 20 30
144 30 47
145 20 92
146 69 52
147 19 98
148 44 19
149 47 46
150 81 46
151 81 81
152 62 75
153 62 97
154 79 32
155 83 56
156 18 78
157 96 5
158 73 69
159 96 18
160 86 48
161 67 65
162 7 19
163 9 81
164 54 96
165 52 69
166 3 78
167 74 75
168 63 15
169 83 98
170 82 22
171 51 97
172 64 64
173 74 91
174 55 13
175 25 74
176 23 29
177 60 32
178 78 16
179 74 42
180 65 81
181 42 83
182 80 13
183 52 39
184 4 21
185 41 57
186 86 98
187 35 63
188 97 69
189 0 43
190 45 18
191 25 40
192 70 77
193 46 74
194 18 41
195 96 47
196 40 40
197 33 1
198 79 68
199 17 50
200 11 34
1 86 34
2 72 67
3 88 25
4 93 96
5 35 9
6 16 31
7 96 47
8 55 2
9 12 2
10 67 77
11 20 62
12 24 93
13 17 45
14 64 34
15 84 28
16 52 49
17 31 11
18 31 91
19 68 2
20 89 21
21 80 22
22 5 87
23 31 8
24 43 85
25 45 77
26 55 14
27 82 33
28 13 23
29 9 78
30 50 42
31 60 59
32 12 6
33 56 66
34 0 85
35 15 64
36 33 9
37 13 46
38 97 98
39 57 37
40 62 8
41 1 78
42 88 6
43 73 37
44 66 97
45 97 7
46 81 89
47 52 46
48 60 21
49 10 98
50 30 65
51 8 57
52 70 81
53 44 46
54 1 36
55 36 15
56 66 71
57 15 41
58 40 81
59 70 5
60 33 19
61 99 2
62 88 8
63 82 43
64 56 66
65 85 75
66 88 59
67 7 97
68 0 43
69 8 7
70 62 27
71 36 30
72 60 81
73 41 9
74 74 10
75 5 79
76 50 4
77 64 10
78 65 5
79 69 62
80 98 0
81 89 34
82 51 61
83 26 7
84 64 18
85 41 96
86 72 63
87 42 6
88 83 68
89 42 6
90 66 72
91 69 46
92 61 5
93 25 83
94 94 96
95 31 94
96 74 46
97 9 62
98 37 1
99 79 99
100 55 34
101 45 55
102 68 8
103 6 86
104 61 58
105 26 97
106 62 62
107 95 25
108 31 42
109 73 45
110 35 43
111 12 67
112 86 46
113 22 26
114 54 80
115 68 81
116 89 42
117 51 32
118 27 13
119 77 52
120 99 38
121 21 35
122 69 34
123 31 11
124 50 83
125 31 95
126 28 33
127 64 12
128 21 77
129 68 21
130 86 79
131 32 81
132 89 45
133 7 19
134 11 62
135 98 17
136 65 20
137 46 96
138 21 77
139 97 52
140 15 10
141 75 70
142 49 73
143 53 56
144 78 39
145 11 49
146 44 55
147 65 19
148 5 40
149 45 24
150 27 11
151 0 88
152 84 13
153 29 7
154 87 67
155 90 44
156 80 16
157 6 76
158 4 61
159 31 16
160 91 51
161 41 71
162 51 49
163 72 9
164 55 26
165 90 80
166 31 72
167 25 3
168 9 87
169 86 35
170 43 45
171 68 11
172 48 67
173 68 28
174 48 89
175 15 43
176 8 29
177 33 75
178 70 28
179 36 34
180 41 20
181 52 60
182 76 10
183 12 7
184 90 3
185 66 16
186 75 95
187 72 45
188 82 29
189 23 84
190 81 43
191 60 66
192 11 47
193 71 1
194 39 49
195 32 81
196 50 52
197 94 23
198 93 7
199 35 38
200 54 61
