2 200
1 29 21
2 38 29
3 39 78
4 11 23
5 20 9
6 33 0
7 29 41
8 78 59
9 26 33
10 10 96
11 87 91
12 38 41
13 63 43
14 67 98
15 27 80
16 53 45
17 44 33
18 50 72
19 1 97
20 6 91
21 97 59
22 61 32
23 24 11
24 20 97
25 18 33
26 5 25
27 47 79
28 73 37
29 82 97
30 66 96
31 11 13
32 96 40
33 56 88
34 55 96
35 91 6
36 57 28
37 26 18
38 98 27
39 30 5
40 16 52
41 22 69
42 79 93
43 75 27
44 97 65
45 60 13
46 89 4
47 31 10
48 80 84
49 63 21
50 76 35
51 55 24
52 6 12
53 76 76
54 98 28
55 81 45
56 6 77
57 80 14
58 74 41
59 33 2
60 64 28
61 90 90
62 36 78
63 16 52
64 96 16
65 38 14
66 64 9
67 29 81
68 96 97
69 63 66
70 16 98
71 29 68
72 83 14
73 6 12
74 23 16
75 35 38
76 50 60
77 56 48
78 45 64
79 88 27
80 96 23
81 80 81
82 90 67
83 81 96
84 48 99
85 17 76
86 77 66
87 85 66
88 99 22
89 6 21
90 71 4
91 29 79
92 80 0
93 63 3
94 53 81
95 36 31
96 9 36
97 70 92
98 18 47
99 78 16
100 33 9
101 63 24
102 98 59
103 60 84
104 75 90
105 48 22
106 58 66
107 55 91
108 94 0
109 1 89
110 3 77
111 43 67
112 63 86
113 67 41
114 95 92
115 48 51
116 44 89
117 88 62
118 40 4
119 81 21
120 39 79
121 28 63
122 32 13
123 73 42
124 80 79
125 98 18
126 46 88
127 13 55
128 66 96
129 60 12
130 92 18
131 88 82
132 41 97
133 78 68
134 78 93
135 50 90
136 19 79
137 49 24
138 49 80
139 35 50
140 13 24
141 61 16
142 94 30
143 5 55
144 76 32
145 95 43
146 44 68
147 29 20
148 90 45
149 21 34
150 34 4
151 63 86
152 28 7
153 99 66
154 38 89
155 5 86
156 61 10
157 99 67
158 57 72
159 87 11
160 91 23
161 92 46
162 97 6
163 46 50
164 50 29
165 33 4
166 58 0
167 15 8
168 61 74
169 87 86
170 31 38
171 16 87
172 26 9
173 82 33
174 69 61
175 63 18
176 57 9
177 42 11
178 12 17
179 88 21
180 61 48
181 16 9
182 55 1
183 27 61
184 95 90
185 6 82
186 85 0
187 80 53
188 6 5
189 19 88
190 24 12
191 81 88
192 65 14
193 46 49
194 57 3
195 96 43
196 86 65
197 24 82
198 22 6
199 31 25
200 81 20
1 37 78
2 55 80
3 33 56
4 28 89
5 5 6
6 98 0
7 97 49
8 67 28
9 43 40
10 54 78
11 4 92
12 94 62
13 96 19
14 75 98
15 31 99
16 73 93
17 6 4
18 74 2
19 32 84
20 81 89
21 20 67
22 98 89
23 45 85
24 68 75
25 15 94
26 63 90
27 70 3
28 16 45
29 84 92
30 84 13
31 80 30
32 58 5
33 32 4
34 94 92
35 74 64
36 95 58
37 59 65
38 57 36
39 93 4
40 17 10
41 51 0
42 83 37
43 36 83
44 23 2
45 88 29
46 18 39
47 0 68
48 8 90
49 9 92
50 56 41
51 91 75
52 1 50
53 98 4
54 31 5
55 45 79
56 51 79
57 75 73
58 61 80
59 46 20
60 69 49
61 80 91
62 4 45
63 45 55
64 58 91
65 56 67
66 26 1
67 47 75
68 19 76
69 98 32
70 38 31
71 51 17
72 57 8
73 77 39
74 64 26
75 6 27
76 43 88
77 23 7
78 60 0
79 70 56
80 5 43
81 46 40
82 48 78
83 53 50
84 31 0
85 54 85
86 82 14
87 82 37
88 97 63
89 34 96
90 67 6
91 91 31
92 84 28
93 23 37
94 77 40
95 14 19
96 6 42
97 27 94
98 85 11
99 68 79
100 55 27
101 7 63
102 72 20
103 45 29
104 6 86
105 9 97
106 65 73
107 88 98
108 52 14
109 55 20
110 54 15
111 72 91
112 85 35
113 79 39
114 86 87
115 51 86
116 94 55
117 41 40
118 99 27
119 59 64
120 82 94
121 31 91
122 31 17
123 53 32
124 53 29
125 42 71
126 55 48
127 24 40
128 54 15
129 78 37
130 41 5
131 42 18
132 34 22
133 2 10
134 32 48
135 98 25
136 55 91
137 37 59
138 83 81
139 60 67
140 81 46
141 86 57
142 45 80
143 30 46
144 30 1
145 85 84
146 48 22
147 22 76
148 51 13
149 56 8
150 14 42
151 99 4
152 30 16
153 15 64
154 10 64
155 56 73
156 54 10
157 55 94
158 19 84
159 72 54
160 92 56
161 80 31
162 62 14
163 76 33
164 68 61
165 8 70
166 24 52
167 53 38
168 47 82
169 27 28
170 64 66
171 35 65
172 44 12
173 29 37
174 66 28
175 57 67
176 40 2
177 16 57
178 62 68
179 41 15
180 40 82
181 95 48
182 56 85
183 49 2
184 57 16
185 47 37
186 57 44
187 89 25
188 20 14
189 86 50
190 85 39
191 66 40
192 3 40
193 30 22
194 36 95
195 76 78
196 40 11
197 88 82
198 70 86
199 8 58
200 62 26
201 80 50
202 81 20
203 9 96
204 12 90
205 36 47
206 81 91
207 30 1
208 15 55
209 45 15
210 55 27
211 66 61
212 40 68
213 96 45
214 55 7
215 55 33
216 5 28
217 87 58
218 58 16
219 59 83
220 30 34
221 9 45
222 58 28
223 97 49
224 81 87
225 66 14
226 41 92
227 3 35
228 60 18
229 9 12
230 23 64
231 40 5
232 35 3
233 42 53
234 3 71
235 42 99
236 96 61
237 85 21
238 17 20
239 3 11
240 70 47
241 64 68
242 40 40
243 91 12
244 25 52
245 98 40
246 6 46
247 60 66
248 93 3
249 10 55
250 86 44
251 46 10
252 44 66
253 17 80
254 7 81
255 18 39
256 15 98
257 41 76
258 0 72
259 64 94
260 11 29
261 27 51
262 72 2
263 93 50
264 1 18
265 27 13
266 9 47
267 25 26
268 1 54
269 23 74
270 23 11
271 4 43
272 34 58
273 24 8
274 5 83
275 66 21
276 39 16
277 44 56
278 16 95
279 37 42
280 73 67
281 79 89
282 53 4
283 30 68
284 72 15
285 75 46
286 48 90
287 70 99
288 24 84
289 17 14
290 77 85
291 45 17
292 52 6
293 74 92
294 2 68
295 9 5
296 16 80
297 0 56
298 32 15
299 90 29
300 28 56
301 35 89
302 8 19
303 73 48
304 45 45
305 32 32
306 78 23
307 65 88
308 21 61
309 36 47
310 29 37
311 65 4
312 5 69
313 29 67
314 89 14
315 67 8
316 93 87
317 85 20
318 49 55
319 9 32
320 33 25
321 46 57
322 36 77
323 27 93
324 15 12
325 34 71
326 79 42
327 0 90
328 91 31
329 84 39
330 90 5
331 58 31
332 77 23
333 38 90
334 37 44
335 38 66
336 52 3
337 14 4
338 91 7
339 67 28
340 41 35
341 52 77
342 79 95
343 29 51
344 87 95
345 29 18
346 70 69
347 42 27
348 66 15
349 79 13
350 38 36
351 56 71
352 73 68
353 18 76
354 28 96
355 99 83
356 63 56
357 98 54
358 53 81
359 51 82
360 94 87
361 3 41
362 14 19
363 95 82
364 60 86
365 37 75
366 28 54
367 89 4
368 79 81
369 3 11
370 77 52
371 22 90
372 96 46
373 55 14
374 71 88
375 74 85
376 63 97
377 19 50
378 33 14
379 56 54
380 72 35
381 15 42
382 58 23
383 55 8
384 66 93
385 74 72
386 77 39
387 4 41
388 64 13
389 45 68
390 63 81
391 11 72
392 11 51
393 11 30
394 35 39
395 71 64
396 24 49
397 38 41
398 37 80
399 31 72
400 90 46
